,Year,Quarter,State_Name,RegisteredUsers
63,2019,3,andhra pradesh,10458693
64,2019,3,telangana,10090557
65,2019,3,rajasthan,9797304
66,2019,3,west bengal,9643222
67,2019,3,gujarat,8429299
68,2019,3,tamil nadu,8428835
69,2019,3,madhya pradesh,8180664
70,2019,4,maharashtra,23745297
71,2019,4,uttar pradesh,17949542
72,2019,4,karnataka,15385416
73,2019,4,andhra pradesh,11757883
74,2019,4,telangana,11220691
75,2019,4,rajasthan,10925031
76,2019,4,west bengal,10885058
77,2019,4,tamil nadu,9620493
78,2019,4,gujarat,9323799
79,2019,4,madhya pradesh,9165241
80,2020,1,maharashtra,26168390
81,2020,1,uttar pradesh,20136256
82,2020,1,karnataka,17016980
83,2020,1,andhra pradesh,13022060
84,2020,1,telangana,12306860
85,2020,1,rajasthan,12142053
86,2020,1,west bengal,11960822
87,2020,1,tamil nadu,10872368
88,2020,1,gujarat,10259843
89,2020,1,madhya pradesh,10151371
90,2020,2,maharashtra,28765086
91,2020,2,uttar pradesh,22498519
92,2020,2,karnataka,18655366
93,2020,2,andhra pradesh,14319675
94,2020,2,rajasthan,13563201
95,2020,2,telangana,13378191
96,2020,2,west bengal,13222022
97,2020,2,tamil nadu,12150786
98,2020,2,gujarat,11392657
99,2020,2,madhya pradesh,11374423
100,2020,3,maharashtra,31409513
101,2020,3,uttar pradesh,24838116
102,2020,3,karnataka,20487550
103,2020,3,andhra pradesh,15692405
104,2020,3,rajasthan,14969412
105,2020,3,telangana,14590882
106,2020,3,west bengal,14448366
107,2020,3,tamil nadu,13643451
108,2020,3,madhya pradesh,12564224
109,2020,3,gujarat,12467847
110,2020,4,maharashtra,34432631
111,2020,4,uttar pradesh,27249134
112,2020,4,karnataka,22400182
113,2020,4,andhra pradesh,17076565
114,2020,4,rajasthan,16329494
115,2020,4,telangana,15927797
116,2020,4,west bengal,15662093
117,2020,4,tamil nadu,15357586
118,2020,4,madhya pradesh,13737947
119,2020,4,gujarat,13605203
120,2021,1,maharashtra,37077537
121,2021,1,uttar pradesh,29482075
122,2021,1,karnataka,24095832
123,2021,1,andhra pradesh,18363733
124,2021,1,rajasthan,17661088
125,2021,1,telangana,17149069
126,2021,1,west bengal,16808799
127,2021,1,tamil nadu,16632608
128,2021,1,madhya pradesh,14839427
129,2021,1,gujarat,14670126
130,2021,2,maharashtra,39664697
131,2021,2,uttar pradesh,31651894
132,2021,2,karnataka,25751023
133,2021,2,andhra pradesh,19620905
134,2021,2,rajasthan,18980985
135,2021,2,telangana,18306880
136,2021,2,west bengal,17979979
137,2021,2,tamil nadu,17804542
138,2021,2,madhya pradesh,15940935
139,2021,2,gujarat,15735981
140,2021,3,maharashtra,42581217
141,2021,3,uttar pradesh,34151882
142,2021,3,karnataka,27614221
143,2021,3,andhra pradesh,21059898
144,2021,3,rajasthan,20499465
145,2021,3,telangana,19615278
146,2021,3,west bengal,19323278
147,2021,3,tamil nadu,19127440
148,2021,3,madhya pradesh,17210233
149,2021,3,gujarat,16946761
150,2021,4,maharashtra,45482506
151,2021,4,uttar pradesh,36617655
152,2021,4,karnataka,29459646
153,2021,4,andhra pradesh,22489029
154,2021,4,rajasthan,21977202
155,2021,4,telangana,20917649
156,2021,4,west bengal,20644527
157,2021,4,tamil nadu,20433142
158,2021,4,madhya pradesh,18456243
159,2021,4,gujarat,18139201
160,2022,1,maharashtra,48227630
161,2022,1,uttar pradesh,38999692
162,2022,1,karnataka,31200349
163,2022,1,andhra pradesh,23857951
164,2022,1,rajasthan,23398857
165,2022,1,telangana,22150612
166,2022,1,west bengal,21919787
167,2022,1,tamil nadu,21667020
168,2022,1,madhya pradesh,19656147
169,2022,1,gujarat,19265314
170,2022,2,maharashtra,50802786
171,2022,2,uttar pradesh,41247289
172,2022,2,karnataka,32831447
173,2022,2,andhra pradesh,25157264
174,2022,2,rajasthan,24716181
175,2022,2,telangana,23314363
176,2022,2,west bengal,23124388
177,2022,2,tamil nadu,22829720
178,2022,2,madhya pradesh,20766417
179,2022,2,gujarat,20321596
180,2022,3,maharashtra,53432602
181,2022,3,uttar pradesh,43537920
182,2022,3,karnataka,34493994
183,2022,3,andhra pradesh,26496330
184,2022,3,rajasthan,26042948
185,2022,3,telangana,24506111
186,2022,3,west bengal,24372048
187,2022,3,tamil nadu,24019964
188,2022,3,madhya pradesh,21884220
189,2022,3,gujarat,21394721
190,2022,4,maharashtra,55954028
191,2022,4,uttar pradesh,45648650
192,2022,4,karnataka,36081698
193,2022,4,andhra pradesh,27778016
194,2022,4,rajasthan,27255927
195,2022,4,telangana,25656381
196,2022,4,west bengal,25536381
197,2022,4,tamil nadu,25136112
198,2022,4,madhya pradesh,22913924
199,2022,4,gujarat,22412353
200,2023,1,maharashtra,58470784
201,2023,1,uttar pradesh,47806049
202,2023,1,karnataka,37681426
203,2023,1,andhra pradesh,29065863
204,2023,1,rajasthan,28523031
205,2023,1,telangana,26804259
206,2023,1,west bengal,26732895
207,2023,1,tamil nadu,26270663
208,2023,1,madhya pradesh,24002818
209,2023,1,gujarat,23436230
210,2023,2,maharashtra,60766850
211,2023,2,uttar pradesh,49829833
212,2023,2,karnataka,39122314
213,2023,2,andhra pradesh,30240061
214,2023,2,rajasthan,29745609
215,2023,2,west bengal,27827662
216,2023,2,telangana,27814633
217,2023,2,tamil nadu,27317599
218,2023,2,madhya pradesh,25042930
219,2023,2,gujarat,24396768
