,State,Year,Quarter,District_name,Transaction_count,Transaction_amount
30,andaman-&-nicobar-islands,2020,3,north and middle andaman district,2196334,33486883.370425556
31,andaman-&-nicobar-islands,2020,3,south andaman district,2196334,282366109.20523936
32,andaman-&-nicobar-islands,2020,3,nicobars district,2196334,22166453.754695386
33,andaman-&-nicobar-islands,2020,4,north and middle andaman district,2196334,68941322.38839513
34,andaman-&-nicobar-islands,2020,4,south andaman district,2196334,523122462.88302904
35,andaman-&-nicobar-islands,2020,4,nicobars district,2196334,35218871.04342849
36,andaman-&-nicobar-islands,2021,1,north and middle andaman district,2196334,75027255.27919498
37,andaman-&-nicobar-islands,2021,1,south andaman district,2196334,669604045.1248703
38,andaman-&-nicobar-islands,2021,1,nicobars district,2196334,39075266.9856904
39,andaman-&-nicobar-islands,2021,2,north and middle andaman district,2196334,90233388.79463302
40,andaman-&-nicobar-islands,2021,2,south andaman district,2196334,760893020.5704944
41,andaman-&-nicobar-islands,2021,2,nicobars district,2196334,48020606.74716837
42,andaman-&-nicobar-islands,2021,3,north and middle andaman district,2196334,118254865.82750683
43,andaman-&-nicobar-islands,2021,3,south andaman district,2196334,1116789010.6459613
44,andaman-&-nicobar-islands,2021,3,nicobars district,2196334,74980519.3281361
45,andaman-&-nicobar-islands,2021,4,north and middle andaman district,2196334,156486112.28732437
46,andaman-&-nicobar-islands,2021,4,south andaman district,2196334,1694794708.0093334
47,andaman-&-nicobar-islands,2021,4,nicobars district,2196334,81329281.0269996
48,andaman-&-nicobar-islands,2022,1,north and middle andaman district,2196334,161624878.52274162
49,andaman-&-nicobar-islands,2022,1,south andaman district,2196334,1872991195.902684
50,andaman-&-nicobar-islands,2022,1,nicobars district,2196334,94414127.64974089
51,andaman-&-nicobar-islands,2022,2,north and middle andaman district,2196334,195693167.78757268
52,andaman-&-nicobar-islands,2022,2,south andaman district,2196334,2357326563.362071
53,andaman-&-nicobar-islands,2022,2,nicobars district,2196334,132900618.93062323
54,andaman-&-nicobar-islands,2022,3,north and middle andaman district,2196334,211581970.34202656
55,andaman-&-nicobar-islands,2022,3,south andaman district,2196334,2967719400.849909
56,andaman-&-nicobar-islands,2022,3,nicobars district,2196334,131330400.94545083
57,andaman-&-nicobar-islands,2022,4,north and middle andaman district,2196334,241431284.3558103
58,andaman-&-nicobar-islands,2022,4,south andaman district,2196334,3600887266.099448
59,andaman-&-nicobar-islands,2022,4,nicobars district,2196334,142355853.97352526
60,andaman-&-nicobar-islands,2023,1,north and middle andaman district,2196334,392080332.0
61,andaman-&-nicobar-islands,2023,1,south andaman district,2196334,3867385426.0
62,andaman-&-nicobar-islands,2023,1,nicobars district,2196334,202062829.0
63,andaman-&-nicobar-islands,2023,2,north and middle andaman district,2196334,462414675.0
64,andaman-&-nicobar-islands,2023,2,south andaman district,2196334,4297737197.0
65,andaman-&-nicobar-islands,2023,2,nicobars district,2196334,230192364.0
66,andhra-pradesh,2018,1,east godavari district,2196334,1235785515.5997267
67,andhra-pradesh,2018,1,srikakulam district,2196334,587778028.9183557
68,andhra-pradesh,2018,1,spsr nellore district,2196334,676643237.8069417
69,andhra-pradesh,2018,1,vizianagaram district,2196334,505783445.78162
70,andhra-pradesh,2018,1,visakhapatnam district,2196334,1749966196.5049946
71,andhra-pradesh,2018,1,prakasam district,2196334,748990775.8676485
72,andhra-pradesh,2018,1,anantapur district,2196334,788830646.0324218
73,andhra-pradesh,2018,1,ysr district,2196334,681481931.0936775
74,andhra-pradesh,2018,1,west godavari district,2196334,853547668.7532666
75,andhra-pradesh,2018,1,kurnool district,2196334,764905298.7350456
76,andhra-pradesh,2018,1,chittoor district,2196334,1009621878.0870512
77,andhra-pradesh,2018,1,guntur district,2196334,1108686589.0266829
78,andhra-pradesh,2018,1,krishna district,2196334,1284255179.6156201
79,andhra-pradesh,2018,2,east godavari district,2196334,2168914928.4239016
80,andhra-pradesh,2018,2,srikakulam district,2196334,929392017.3670053
81,andhra-pradesh,2018,2,spsr nellore district,2196334,1542057934.0108962
82,andhra-pradesh,2018,2,vizianagaram district,2196334,811711367.5080048
83,andhra-pradesh,2018,2,visakhapatnam district,2196334,2987853607.2939095
84,andhra-pradesh,2018,2,prakasam district,2196334,1571167562.1276276
85,andhra-pradesh,2018,2,anantapur district,2196334,1690366079.0557928
86,andhra-pradesh,2018,2,ysr district,2196334,1415500367.6861844
87,andhra-pradesh,2018,2,west godavari district,2196334,1688025212.3045945
88,andhra-pradesh,2018,2,kurnool district,2196334,1531888665.6843233
89,andhra-pradesh,2018,2,chittoor district,2196334,1990419125.8937118
90,andhra-pradesh,2018,2,guntur district,2196334,2108475811.7859967
91,andhra-pradesh,2018,2,krishna district,2196334,2448141593.4919834
92,andhra-pradesh,2018,3,east godavari district,2196334,3551247095.307447
93,andhra-pradesh,2018,3,srikakulam district,2196334,1318322236.598471
94,andhra-pradesh,2018,3,spsr nellore district,2196334,2215938596.185108
95,andhra-pradesh,2018,3,vizianagaram district,2196334,1163546006.895916
96,andhra-pradesh,2018,3,visakhapatnam district,2196334,4821892253.393524
97,andhra-pradesh,2018,3,prakasam district,2196334,2346453445.483843
98,andhra-pradesh,2018,3,anantapur district,2196334,2681787750.464165
99,andhra-pradesh,2018,3,ysr district,2196334,2235904512.2542048
100,andhra-pradesh,2018,3,west godavari district,2196334,2309078492.8058147
101,andhra-pradesh,2018,3,kurnool district,2196334,2908389261.539773
102,andhra-pradesh,2018,3,chittoor district,2196334,3283517630.720593
103,andhra-pradesh,2018,3,guntur district,2196334,3127764663.180438
104,andhra-pradesh,2018,3,krishna district,2196334,3754202654.3844614
105,andhra-pradesh,2018,4,east godavari district,2196334,4652624623.436675
106,andhra-pradesh,2018,4,srikakulam district,2196334,1870278609.504549
107,andhra-pradesh,2018,4,spsr nellore district,2196334,3293448556.9734454
108,andhra-pradesh,2018,4,vizianagaram district,2196334,1817673252.5417767
109,andhra-pradesh,2018,4,visakhapatnam district,2196334,7366635864.849373
110,andhra-pradesh,2018,4,prakasam district,2196334,3255254226.03728
111,andhra-pradesh,2018,4,anantapur district,2196334,3975878156.329829
112,andhra-pradesh,2018,4,ysr district,2196334,3252340063.2478595
113,andhra-pradesh,2018,4,west godavari district,2196334,3237504255.4632454
114,andhra-pradesh,2018,4,kurnool district,2196334,3626544852.4069242
115,andhra-pradesh,2018,4,chittoor district,2196334,4979093890.223491
116,andhra-pradesh,2018,4,guntur district,2196334,4730251217.696959
117,andhra-pradesh,2018,4,krishna district,2196334,5416251838.130407
118,andhra-pradesh,2019,1,east godavari district,2196334,7382264724.59952
119,andhra-pradesh,2019,1,srikakulam district,2196334,3407912878.4152584
120,andhra-pradesh,2019,1,spsr nellore district,2196334,5161932216.216368
121,andhra-pradesh,2019,1,vizianagaram district,2196334,3364576948.299301
122,andhra-pradesh,2019,1,visakhapatnam district,2196334,13459857440.552685
123,andhra-pradesh,2019,1,prakasam district,2196334,4807527779.215151
124,andhra-pradesh,2019,1,anantapur district,2196334,6044730653.191345
125,andhra-pradesh,2019,1,ysr district,2196334,4915811593.896078
126,andhra-pradesh,2019,1,west godavari district,2196334,4623764455.47309
127,andhra-pradesh,2019,1,kurnool district,2196334,5541564892.509682
128,andhra-pradesh,2019,1,chittoor district,2196334,8223371732.233585
129,andhra-pradesh,2019,1,guntur district,2196334,7765934169.404485
130,andhra-pradesh,2019,1,krishna district,2196334,9061346433.072681
131,andhra-pradesh,2019,2,east godavari district,2196334,9116404622.47651
132,andhra-pradesh,2019,2,srikakulam district,2196334,4066576539.936839
133,andhra-pradesh,2019,2,spsr nellore district,2196334,6880873007.4820595
134,andhra-pradesh,2019,2,vizianagaram district,2196334,4443041665.039663
135,andhra-pradesh,2019,2,visakhapatnam district,2196334,20797479804.029076
136,andhra-pradesh,2019,2,prakasam district,2196334,6262396448.455349
137,andhra-pradesh,2019,2,anantapur district,2196334,7830782361.377665
138,andhra-pradesh,2019,2,ysr district,2196334,6376856828.130632
139,andhra-pradesh,2019,2,west godavari district,2196334,5676818258.955046
140,andhra-pradesh,2019,2,kurnool district,2196334,7358285187.018034
141,andhra-pradesh,2019,2,chittoor district,2196334,10982727976.224325
142,andhra-pradesh,2019,2,guntur district,2196334,10405246943.481495
143,andhra-pradesh,2019,2,krishna district,2196334,13437029115.620754
144,andhra-pradesh,2019,3,east godavari district,2196334,11387726470.57774
145,andhra-pradesh,2019,3,srikakulam district,2196334,4610131289.524039
146,andhra-pradesh,2019,3,spsr nellore district,2196334,8256600118.735449
147,andhra-pradesh,2019,3,vizianagaram district,2196334,4922069039.19216
148,andhra-pradesh,2019,3,visakhapatnam district,2196334,26944837120.046288
149,andhra-pradesh,2019,3,prakasam district,2196334,7354502261.150911
150,andhra-pradesh,2019,3,anantapur district,2196334,9554081289.488277
151,andhra-pradesh,2019,3,ysr district,2196334,7447544274.2117815
152,andhra-pradesh,2019,3,west godavari district,2196334,6627629029.01413
153,andhra-pradesh,2019,3,kurnool district,2196334,9025632779.412457
154,andhra-pradesh,2019,3,chittoor district,2196334,13837455758.755266
155,andhra-pradesh,2019,3,guntur district,2196334,13075661264.188034
156,andhra-pradesh,2019,3,krishna district,2196334,16404073560.500784
157,andhra-pradesh,2019,4,east godavari district,2196334,16816774065.301317
158,andhra-pradesh,2019,4,srikakulam district,2196334,6832369301.879345
159,andhra-pradesh,2019,4,spsr nellore district,2196334,11786014089.194027
160,andhra-pradesh,2019,4,vizianagaram district,2196334,7175851807.068796
161,andhra-pradesh,2019,4,visakhapatnam district,2196334,39133296330.044624
162,andhra-pradesh,2019,4,prakasam district,2196334,10604077824.801035
163,andhra-pradesh,2019,4,anantapur district,2196334,13887248889.064066
164,andhra-pradesh,2019,4,ysr district,2196334,10865073855.730783
165,andhra-pradesh,2019,4,west godavari district,2196334,9710614747.20177
166,andhra-pradesh,2019,4,kurnool district,2196334,13233105728.54823
167,andhra-pradesh,2019,4,chittoor district,2196334,19298476027.875484
168,andhra-pradesh,2019,4,guntur district,2196334,18565626418.035915
169,andhra-pradesh,2019,4,krishna district,2196334,23039786404.04664
170,andhra-pradesh,2020,1,east godavari district,2196334,21854701379.428688
171,andhra-pradesh,2020,1,srikakulam district,2196334,9777575594.177538
172,andhra-pradesh,2020,1,spsr nellore district,2196334,15387829694.446861
173,andhra-pradesh,2020,1,vizianagaram district,2196334,9879174240.920494
174,andhra-pradesh,2020,1,visakhapatnam district,2196334,48809747614.678894
175,andhra-pradesh,2020,1,prakasam district,2196334,14169104764.526735
176,andhra-pradesh,2020,1,anantapur district,2196334,17864325752.82528
177,andhra-pradesh,2020,1,ysr district,2196334,14059924636.819912
178,andhra-pradesh,2020,1,west godavari district,2196334,12995834340.716236
179,andhra-pradesh,2020,1,kurnool district,2196334,17022710311.813046
180,andhra-pradesh,2020,1,chittoor district,2196334,23441848567.344193
181,andhra-pradesh,2020,1,guntur district,2196334,22992734620.64621
182,andhra-pradesh,2020,1,krishna district,2196334,24481702770.71471
183,andhra-pradesh,2020,2,east godavari district,2196334,26319906327.32029
184,andhra-pradesh,2020,2,srikakulam district,2196334,12153650076.875832
185,andhra-pradesh,2020,2,spsr nellore district,2196334,20665376460.772232
186,andhra-pradesh,2020,2,vizianagaram district,2196334,12819344389.545382
187,andhra-pradesh,2020,2,visakhapatnam district,2196334,48293889917.41437
188,andhra-pradesh,2020,2,prakasam district,2196334,19846026726.904335
189,andhra-pradesh,2020,2,anantapur district,2196334,22094006659.412506
190,andhra-pradesh,2020,2,ysr district,2196334,19597207268.132023
191,andhra-pradesh,2020,2,west godavari district,2196334,16585866855.159784
192,andhra-pradesh,2020,2,kurnool district,2196334,22419372061.805172
193,andhra-pradesh,2020,2,chittoor district,2196334,27361300300.01902
194,andhra-pradesh,2020,2,guntur district,2196334,27463593607.839108
195,andhra-pradesh,2020,2,krishna district,2196334,26964149095.366295
196,andhra-pradesh,2020,3,east godavari district,2196334,39300043804.75851
197,andhra-pradesh,2020,3,srikakulam district,2196334,18029574581.337425
198,andhra-pradesh,2020,3,spsr nellore district,2196334,39128324534.03022
199,andhra-pradesh,2020,3,vizianagaram district,2196334,17567816576.501263
200,andhra-pradesh,2020,3,visakhapatnam district,2196334,67628440368.111465
201,andhra-pradesh,2020,3,prakasam district,2196334,31221704852.44969
202,andhra-pradesh,2020,3,anantapur district,2196334,34102037972.65785
203,andhra-pradesh,2020,3,ysr district,2196334,32037007334.12973
204,andhra-pradesh,2020,3,west godavari district,2196334,25408608725.754295
205,andhra-pradesh,2020,3,kurnool district,2196334,32529351107.17173
206,andhra-pradesh,2020,3,chittoor district,2196334,42811566246.16463
207,andhra-pradesh,2020,3,guntur district,2196334,42531195809.75448
208,andhra-pradesh,2020,3,krishna district,2196334,44788458672.084435
209,andhra-pradesh,2020,4,east godavari district,2196334,58732615663.118416
210,andhra-pradesh,2020,4,srikakulam district,2196334,25222520275.27882
211,andhra-pradesh,2020,4,spsr nellore district,2196334,49115443663.37911
212,andhra-pradesh,2020,4,vizianagaram district,2196334,24094847668.445065
213,andhra-pradesh,2020,4,visakhapatnam district,2196334,91879823025.40399
214,andhra-pradesh,2020,4,prakasam district,2196334,41852443493.515396
215,andhra-pradesh,2020,4,anantapur district,2196334,49732610814.26222
216,andhra-pradesh,2020,4,ysr district,2196334,42572974713.44026
217,andhra-pradesh,2020,4,west godavari district,2196334,40310975762.603455
218,andhra-pradesh,2020,4,kurnool district,2196334,44718203115.22612
219,andhra-pradesh,2020,4,chittoor district,2196334,61505711149.79541
220,andhra-pradesh,2020,4,guntur district,2196334,60641872021.25432
221,andhra-pradesh,2020,4,krishna district,2196334,64461504667.60723
222,andhra-pradesh,2021,1,east godavari district,2196334,60027984987.96951
223,andhra-pradesh,2021,1,srikakulam district,2196334,26486623313.092724
224,andhra-pradesh,2021,1,spsr nellore district,2196334,52210333201.53073
225,andhra-pradesh,2021,1,vizianagaram district,2196334,24153782497.243248
226,andhra-pradesh,2021,1,visakhapatnam district,2196334,95308386037.84721
227,andhra-pradesh,2021,1,prakasam district,2196334,41396223622.174774
228,andhra-pradesh,2021,1,anantapur district,2196334,48353870395.01808
229,andhra-pradesh,2021,1,ysr district,2196334,42570919448.50447
230,andhra-pradesh,2021,1,west godavari district,2196334,42124030669.36126
231,andhra-pradesh,2021,1,kurnool district,2196334,44941629659.56964
232,andhra-pradesh,2021,1,chittoor district,2196334,60947491846.66089
233,andhra-pradesh,2021,1,guntur district,2196334,64207987853.108406
234,andhra-pradesh,2021,1,krishna district,2196334,69715406644.53485
235,andhra-pradesh,2021,2,east godavari district,2196334,74604325863.66068
236,andhra-pradesh,2021,2,srikakulam district,2196334,32298129544.540867
237,andhra-pradesh,2021,2,spsr nellore district,2196334,72283071757.09679
238,andhra-pradesh,2021,2,vizianagaram district,2196334,29140685236.830723
239,andhra-pradesh,2021,2,visakhapatnam district,2196334,114439012713.35336
240,andhra-pradesh,2021,2,prakasam district,2196334,54535328043.04135
241,andhra-pradesh,2021,2,anantapur district,2196334,60987487571.279915
242,andhra-pradesh,2021,2,ysr district,2196334,52523527031.02132
243,andhra-pradesh,2021,2,west godavari district,2196334,57233116236.18796
244,andhra-pradesh,2021,2,kurnool district,2196334,56659287474.995804
245,andhra-pradesh,2021,2,chittoor district,2196334,73654690122.43158
246,andhra-pradesh,2021,2,guntur district,2196334,82356914463.83287
247,andhra-pradesh,2021,2,krishna district,2196334,90021923049.96454
248,andhra-pradesh,2021,3,east godavari district,2196334,89380370072.7078
249,andhra-pradesh,2021,3,srikakulam district,2196334,34836400769.876816
250,andhra-pradesh,2021,3,spsr nellore district,2196334,77839676988.30869
251,andhra-pradesh,2021,3,vizianagaram district,2196334,31383541628.212524
252,andhra-pradesh,2021,3,visakhapatnam district,2196334,136945652159.26515
253,andhra-pradesh,2021,3,prakasam district,2196334,63367713446.928055
254,andhra-pradesh,2021,3,anantapur district,2196334,70291248155.64975
255,andhra-pradesh,2021,3,ysr district,2196334,60683557724.652336
256,andhra-pradesh,2021,3,west godavari district,2196334,66647238455.1675
257,andhra-pradesh,2021,3,kurnool district,2196334,62527453761.59807
258,andhra-pradesh,2021,3,chittoor district,2196334,89371931753.04831
259,andhra-pradesh,2021,3,guntur district,2196334,96525353090.12305
260,andhra-pradesh,2021,3,krishna district,2196334,104417897558.58972
261,andhra-pradesh,2021,4,east godavari district,2196334,106725597026.00356
262,andhra-pradesh,2021,4,srikakulam district,2196334,39713657870.15512
263,andhra-pradesh,2021,4,spsr nellore district,2196334,92256405076.26547
264,andhra-pradesh,2021,4,vizianagaram district,2196334,36577529464.9687
265,andhra-pradesh,2021,4,visakhapatnam district,2196334,159530099772.73474
266,andhra-pradesh,2021,4,prakasam district,2196334,71323060008.47623
267,andhra-pradesh,2021,4,anantapur district,2196334,81239787006.64764
268,andhra-pradesh,2021,4,ysr district,2196334,69081850069.2033
269,andhra-pradesh,2021,4,west godavari district,2196334,81292461575.08182
270,andhra-pradesh,2021,4,kurnool district,2196334,73968947669.64754
271,andhra-pradesh,2021,4,chittoor district,2196334,103985734663.73514
272,andhra-pradesh,2021,4,guntur district,2196334,115553993673.17337
273,andhra-pradesh,2021,4,krishna district,2196334,125015323207.89836
274,andhra-pradesh,2022,1,east godavari district,2196334,121067103712.79568
275,andhra-pradesh,2022,1,srikakulam district,2196334,46898912115.649216
276,andhra-pradesh,2022,1,spsr nellore district,2196334,104895571602.13988
277,andhra-pradesh,2022,1,vizianagaram district,2196334,41994853361.58879
278,andhra-pradesh,2022,1,visakhapatnam district,2196334,170120350591.26004
279,andhra-pradesh,2022,1,prakasam district,2196334,79494373254.71565
280,andhra-pradesh,2022,1,anantapur district,2196334,90197023268.43825
281,andhra-pradesh,2022,1,ysr district,2196334,78421693518.90942
282,andhra-pradesh,2022,1,west godavari district,2196334,92397939903.60938
283,andhra-pradesh,2022,1,kurnool district,2196334,81568420500.54749
284,andhra-pradesh,2022,1,chittoor district,2196334,117900595508.634
285,andhra-pradesh,2022,1,guntur district,2196334,129673727687.08942
286,andhra-pradesh,2022,1,krishna district,2196334,139690081529.49048
287,andhra-pradesh,2022,2,east godavari district,2196334,135531452997.6391
288,andhra-pradesh,2022,2,srikakulam district,2196334,53754764122.4327
289,andhra-pradesh,2022,2,spsr nellore district,2196334,121941082043.49483
290,andhra-pradesh,2022,2,vizianagaram district,2196334,47294745020.495636
291,andhra-pradesh,2022,2,visakhapatnam district,2196334,193242841582.14285
292,andhra-pradesh,2022,2,prakasam district,2196334,90435082545.97766
293,andhra-pradesh,2022,2,anantapur district,2196334,102138758015.76915
294,andhra-pradesh,2022,2,ysr district,2196334,87601310069.59737
295,andhra-pradesh,2022,2,west godavari district,2196334,107973244960.42824
296,andhra-pradesh,2022,2,kurnool district,2196334,92409350855.50198
297,andhra-pradesh,2022,2,chittoor district,2196334,136435445124.75616
298,andhra-pradesh,2022,2,guntur district,2196334,147098141568.7623
299,andhra-pradesh,2022,2,krishna district,2196334,163997729295.93134
300,andhra-pradesh,2022,3,east godavari district,2196334,129677722169.74829
301,andhra-pradesh,2022,3,srikakulam district,2196334,46899962921.785614
302,andhra-pradesh,2022,3,spsr nellore district,2196334,95099325968.25972
303,andhra-pradesh,2022,3,vizianagaram district,2196334,42513313394.84207
304,andhra-pradesh,2022,3,visakhapatnam district,2196334,181124419863.61444
305,andhra-pradesh,2022,3,prakasam district,2196334,87475230073.46387
306,andhra-pradesh,2022,3,anantapur district,2196334,97735649608.10074
307,andhra-pradesh,2022,3,ysr district,2196334,86016932181.12372
308,andhra-pradesh,2022,3,west godavari district,2196334,101706854744.31876
309,andhra-pradesh,2022,3,kurnool district,2196334,88415335176.31995
310,andhra-pradesh,2022,3,chittoor district,2196334,133053581631.6395
311,andhra-pradesh,2022,3,guntur district,2196334,141588522953.23773
312,andhra-pradesh,2022,3,krishna district,2196334,153770559025.69125
313,andhra-pradesh,2022,4,east godavari district,2196334,136531110139.86256
314,andhra-pradesh,2022,4,srikakulam district,2196334,47726411107.88628
315,andhra-pradesh,2022,4,spsr nellore district,2196334,92085916180.6851
316,andhra-pradesh,2022,4,vizianagaram district,2196334,44467386404.34758
317,andhra-pradesh,2022,4,visakhapatnam district,2196334,185306149744.73108
318,andhra-pradesh,2022,4,prakasam district,2196334,88105031866.36835
319,andhra-pradesh,2022,4,anantapur district,2196334,101533878537.23433
320,andhra-pradesh,2022,4,ysr district,2196334,87360426792.81667
321,andhra-pradesh,2022,4,west godavari district,2196334,105335724990.59325
322,andhra-pradesh,2022,4,kurnool district,2196334,94667441029.08345
323,andhra-pradesh,2022,4,chittoor district,2196334,136840859888.18155
324,andhra-pradesh,2022,4,guntur district,2196334,146938735166.52365
325,andhra-pradesh,2022,4,krishna district,2196334,157826011193.35443
326,andhra-pradesh,2023,1,east godavari district,2196334,223454724672.0
327,andhra-pradesh,2023,1,srikakulam district,2196334,86486032409.0
328,andhra-pradesh,2023,1,spsr nellore district,2196334,143967164643.0
329,andhra-pradesh,2023,1,vizianagaram district,2196334,76472384525.0
330,andhra-pradesh,2023,1,visakhapatnam district,2196334,277211090180.0
331,andhra-pradesh,2023,1,prakasam district,2196334,141672839638.0
332,andhra-pradesh,2023,1,anantapur district,2196334,162287796625.0
333,andhra-pradesh,2023,1,ysr district,2196334,140117633668.0
334,andhra-pradesh,2023,1,west godavari district,2196334,165941144654.0
335,andhra-pradesh,2023,1,kurnool district,2196334,149100361797.0
336,andhra-pradesh,2023,1,chittoor district,2196334,218037027226.0
337,andhra-pradesh,2023,1,guntur district,2196334,226244225817.0
338,andhra-pradesh,2023,1,krishna district,2196334,238058890676.0
339,andhra-pradesh,2023,2,east godavari district,2196334,245134717109.0
340,andhra-pradesh,2023,2,srikakulam district,2196334,93082175904.0
341,andhra-pradesh,2023,2,spsr nellore district,2196334,165181391414.0
342,andhra-pradesh,2023,2,vizianagaram district,2196334,82671020353.0
343,andhra-pradesh,2023,2,visakhapatnam district,2196334,303874597259.0
344,andhra-pradesh,2023,2,prakasam district,2196334,158428689659.0
345,andhra-pradesh,2023,2,anantapur district,2196334,180050369328.0
346,andhra-pradesh,2023,2,ysr district,2196334,156231915019.0
347,andhra-pradesh,2023,2,west godavari district,2196334,187699526244.0
348,andhra-pradesh,2023,2,kurnool district,2196334,166991990104.0
349,andhra-pradesh,2023,2,chittoor district,2196334,245550525910.0
350,andhra-pradesh,2023,2,guntur district,2196334,254140764680.0
351,andhra-pradesh,2023,2,krishna district,2196334,267001403933.0
352,arunachal-pradesh,2018,1,lower dibang valley district,2196334,1076236.814073793
353,arunachal-pradesh,2018,1,lower subansiri district,2196334,3650727.893614269
354,arunachal-pradesh,2018,1,longding district,2196334,4361531.578447229
355,arunachal-pradesh,2018,1,west siang district,2196334,4796675.565399804
356,arunachal-pradesh,2018,1,kamle district,2196334,7971.330494807651
357,arunachal-pradesh,2018,1,upper siang district,2196334,186610.66988095018
358,arunachal-pradesh,2018,1,tirap district,2196334,1064265.0002443574
359,arunachal-pradesh,2018,1,papum pare district,2196334,32555848.462331478
360,arunachal-pradesh,2018,1,kurung kumey district,2196334,99416.58027150274
361,arunachal-pradesh,2018,1,siang district,2196334,339471.80434222345
362,arunachal-pradesh,2018,1,lower siang district,2196334,2337960.7148240386
363,arunachal-pradesh,2018,1,kra daadi district,2196334,495375.1454853307
364,arunachal-pradesh,2018,1,changlang district,2196334,5380749.415278763
365,arunachal-pradesh,2018,1,pakke kessang district,2196334,9131.404205737199
366,arunachal-pradesh,2018,1,dibang valley district,2196334,169.88856537681642
367,arunachal-pradesh,2018,1,west kameng district,2196334,9540632.547015157
368,arunachal-pradesh,2018,1,east siang district,2196334,5533620.186295529
369,arunachal-pradesh,2018,1,upper subansiri district,2196334,1358367.5018580484
370,arunachal-pradesh,2018,1,east kameng district,2196334,473824.76595106337
371,arunachal-pradesh,2018,1,lohit district,2196334,11496949.54576835
372,arunachal-pradesh,2018,1,lepa rada district,2196334,403149.46702687367
373,arunachal-pradesh,2018,1,tawang district,2196334,5055665.022950603
374,arunachal-pradesh,2018,1,namsai district,2196334,2162984.705083958
375,arunachal-pradesh,2018,2,lower dibang valley district,2196334,2561237.506207262
376,arunachal-pradesh,2018,2,lower subansiri district,2196334,4113742.04406352
377,arunachal-pradesh,2018,2,longding district,2196334,10271170.165521314
378,arunachal-pradesh,2018,2,west siang district,2196334,7610989.567485569
379,arunachal-pradesh,2018,2,kamle district,2196334,23654.058373191845
380,arunachal-pradesh,2018,2,upper siang district,2196334,494895.09277159756
381,arunachal-pradesh,2018,2,tirap district,2196334,3126393.7649546335
382,arunachal-pradesh,2018,2,papum pare district,2196334,66520931.20355793
383,arunachal-pradesh,2018,2,kurung kumey district,2196334,123737.2220411206
384,arunachal-pradesh,2018,2,anjaw district,2196334,7871.020814692305
385,arunachal-pradesh,2018,2,siang district,2196334,740232.6309634304
386,arunachal-pradesh,2018,2,lower siang district,2196334,2179451.657976534
387,arunachal-pradesh,2018,2,kra daadi district,2196334,987135.9959717204
388,arunachal-pradesh,2018,2,changlang district,2196334,13294258.50337311
389,arunachal-pradesh,2018,2,pakke kessang district,2196334,58359.57138935899
390,arunachal-pradesh,2018,2,dibang valley district,2196334,65769.2036735354
391,arunachal-pradesh,2018,2,west kameng district,2196334,25521321.34140157
392,arunachal-pradesh,2018,2,east siang district,2196334,15285584.202916935
