,Year,Quarter,StateName,RegisteredUsers,AppOpens
281,2019,4,sikkim,92972,1552004
282,2019,4,tamil nadu,9620493,155011717
283,2019,4,telangana,11220691,399239044
284,2019,4,tripura,272298,3610807
285,2019,4,uttar pradesh,17949542,324068625
286,2019,4,uttarakhand,1752677,28853867
287,2019,4,west bengal,10885058,244326613
288,2020,1,andaman & nicobar islands,28368,193586
289,2020,1,andhra pradesh,13022060,486513773
290,2020,1,arunachal pradesh,149066,2598321
291,2020,1,assam,2185938,33097892
292,2020,1,bihar,9351234,183868505
293,2020,1,chandigarh,312887,5201211
294,2020,1,chhattisgarh,3016487,64224101
295,2020,1,dadra & nagar haveli & daman & diu,218496,4195122
296,2020,1,delhi,7826197,178263986
297,2020,1,goa,391900,7147233
298,2020,1,gujarat,10259843,165605122
299,2020,1,haryana,7018770,157793468
300,2020,1,himachal pradesh,1106025,14640104
301,2020,1,jammu & kashmir,735408,4476894
302,2020,1,jharkhand,3651393,74014713
303,2020,1,karnataka,17016980,626488036
304,2020,1,kerala,4078316,46396398
305,2020,1,ladakh,47790,590484
306,2020,1,lakshadweep,2772,21982
307,2020,1,madhya pradesh,10151371,262452480
308,2020,1,maharashtra,26168390,615146568
309,2020,1,manipur,177374,2175642
310,2020,1,meghalaya,113814,1716211
311,2020,1,mizoram,46499,644683
312,2020,1,nagaland,107143,1684520
313,2020,1,odisha,6652970,175918622
314,2020,1,puducherry,230908,3820943
315,2020,1,punjab,3739502,53853710
316,2020,1,rajasthan,12142053,341815756
317,2020,1,sikkim,104631,1697163
318,2020,1,tamil nadu,10872368,179908753
319,2020,1,telangana,12306860,454723816
320,2020,1,tripura,299962,4063223
321,2020,1,uttar pradesh,20136256,374282083
322,2020,1,uttarakhand,1943606,32631265
323,2020,1,west bengal,11960822,207068218
324,2020,2,andaman & nicobar islands,32710,305072
325,2020,2,andhra pradesh,14319675,494341698
326,2020,2,arunachal pradesh,177534,3387006
327,2020,2,assam,2550883,39304924
